Date,Open,High,Low,Close,Volume,Adj Close
2011-11-09,2127.00,2162.60,2122.05,2134.10,35200,1885.96
2011-11-08,2125.00,2149.90,2110.00,2114.90,15500,1868.99
2011-11-04,2082.55,2131.75,2082.55,2116.20,27200,1870.14
2011-11-03,2084.00,2084.85,2035.40,2070.85,83200,1830.06
2011-11-02,2131.00,2131.00,2071.05,2089.30,46600,1846.37
2011-11-01,2164.00,2174.65,2127.05,2141.85,26800,1892.81
2011-10-31,2155.00,2192.90,2155.00,2175.70,102100,1922.72
2011-10-28,2149.90,2229.55,2140.00,2157.50,53000,1906.64
2011-10-26,2100.00,2118.85,2089.25,2105.65,10200,1860.82
2011-10-25,2075.00,2106.35,2040.65,2092.85,82500,1849.50
2011-10-24,2064.80,2090.40,2064.80,2071.00,30400,1830.19
2011-10-21,2028.00,2064.80,2006.90,2052.10,50800,1813.49
2011-10-20,2052.90,2056.30,1999.00,2028.85,56500,1792.95
2011-10-19,2053.00,2092.30,2040.55,2066.90,145900,1826.57
2011-10-18,1989.00,2014.90,1963.00,1984.85,83100,1754.06
2011-10-17,1980.00,2025.00,1965.00,1993.00,55500,1761.26
2011-10-14,1970.05,2007.00,1970.05,1992.65,27200,1760.95
2011-10-13,2010.00,2022.40,1976.00,1980.75,21500,1750.44
2011-10-12,1985.90,2030.15,1965.45,2001.30,77300,1768.60
2011-10-11,1960.00,1995.80,1960.00,1970.40,30100,1741.29
2011-10-10,1939.00,1975.00,1920.05,1960.55,59500,1732.59
2011-10-07,1972.00,1999.90,1915.00,1941.05,43400,1715.35
2011-10-05,1955.70,1970.00,1937.25,1946.15,30800,1719.86
2011-10-04,1944.00,1992.50,1929.90,1956.40,75200,1728.92
2011-10-03,1935.00,1966.40,1906.45,1958.70,87600,1730.95
2011-09-30,1986.00,1986.00,1917.15,1941.85,51500,1716.06
2011-09-29,1957.80,2020.00,1915.95,2002.20,75700,1769.39
2011-09-28,2015.00,2017.90,1950.15,1958.35,33500,1730.64
2011-09-27,1992.00,2018.00,1984.00,1992.65,26700,1760.95
2011-09-26,2045.00,2045.00,1956.20,1975.90,31000,1746.15
2011-09-23,2075.00,2088.35,2023.00,2037.65,50000,1800.72
2011-09-22,2105.00,2119.00,2079.90,2088.75,43400,1845.88
2011-09-21,2205.10,2207.00,2124.10,2138.25,204800,1889.62
2011-09-20,2196.00,2217.00,2195.00,2205.80,54900,1949.32
2011-09-19,2203.00,2215.00,2186.00,2200.90,41900,1944.99
2011-09-16,2202.00,2220.00,2192.00,2201.50,29700,1945.52
